én | ja
én és te | ja i ti
mi ketten | nas dvoje
ő (férfi / fiú) | on
ő (férfi / fiú) és ő (nő / lány) | on i ona
ők ketten | njih dvoje
a férfi | muškarac
a nő / az asszony / a feleség | žena
a gyermek | dijete
egy család | jedna porodica
az én családom | moja porodica
A családom itt van. | Мoja porodica je ovdje.
Én itt vagyok. | Ja sam ovdje.
Te itt vagy. | Ti si ovdje.
Ő (a férfi / fiú) itt van és ő (a nő / lány) itt van. | On je ovdje i ona je ovdje.
Mi itt vagyunk. | Mi smo ovdje.
Ti itt vagytok. | Vi ste ovdje.
Ők mindannyian itt vannak. | Oni su svi ovdje.
