a nagyapa | djed
a nagymama | nana / nena
ő (férfi / fiú) és ő (nő / lány) | on i ona
az apa | otac
az anya | majka
ő (a férfi / fiú) és ő (a nő / lány) | on i ona
a fiú (valakinek a fia) | sin
a lány (valakinek a lánya) | kćerka
ő (a férfi / fiú) és ő (a nő / lány) | on i ona
a fiútestvér | brat
a leánytestvér | sestra
ő (a férfi / fiú) és ő (a nő / lány) | on i ona
a nagybácsi | daižda
a nagynéni | tetka
ő (a férfi / fiú) és ő (a nő / lány) | on i ona
Mi egy család vagyunk. | Mi smo porodica.
A család nem kicsi. | Porodica nije mala.
A család nagy. | Porodica je velika.
