Szia! | Zdravo!
Jó napot! | Dobar dan!
Hogy vagy? | Kako ste?
Ön Európából jön? / Ön európai? | Jeste li Vi iz Evrope?
Ön Amerikából jön? / Ön amerikai? | Jeste li Vi iz Amerike?
Ön Ázsiából jön? / Ön ázsiai? | Jeste li Vi iz Azije?
Melyik hotelben lakik? | U kojem hotelu ste smješteni?
Mióta van már itt? | Koliko dugo ste već ovdje?
Meddig marad? | Koliko dugo ostajete?
Tetszik önnek itt? | Dopada li Vam se ovdje?
Ön itt nyaral? | Jeste li ovdje na godišnjem odmoru?
Látogasson meg egyszer! | Posjetite me jednom!
Itt van az én címem. | Ovo je moja adresa.
Látjuk egymást holnap? | Hoćemo li se sutra vidjeti?
Sajnálom, már más tervem van. | Žao mi je, imam već sutra nešto dogovoreno.
Szia! / Viszlát! (Vigyázat! / Csak elköszönésnél!) | Ćao!
Viszontlátásra! | Doviđenja!
Nemsokára találkozunk! / A közeli viszontlátásra! | Do uskoro!
    
